axis,scenario,controller,window,RMSE,MAE,peak,IAE,ISE,effort,u_rms,u_max,sse,in_1deg,in_2deg
pitch,empty,mrac,dist,1.2878395628815729,0.8544174967409783,5.973442821464713,51.2650498044587,99.51184438338002,0.6038451443001478,0.432085319882236,1.1598227277891677,-0.07119191675530326,70.9375,84.0625
pitch,half,pid,acq,0.7741749409517883,0.22074298163574993,5.992477125818987,4.1941166510792485,11.387589944756394,0.0593815522538648,0.9439407878484857,0.9681874117013249,-0.005916192396928643,94.90131578947368,96.54605263157895
pitch,half,pid,dist,1.6768748614750664,1.342448972586294,6.023723833396463,80.54693835517764,168.71455806282137,0.3569918633907462,0.3879998877588972,1.1064706696600815,-0.03277520913062383,45.05208333333333,71.5625
pitch,half,rst,acq,0.590768789311075,0.09740297886098717,5.988439323115588,1.8506565983587562,6.631147486057393,0.06963389139974044,0.957902661603868,1.0010678845147694,-0.012789752218835548,98.02631578947368,98.51973684210526
pitch,half,rst,dist,1.267058146235236,0.8893924889481316,5.9987433565069495,53.3635493368879,96.32618075646434,0.44701286546934044,0.434707467902087,1.1574133122051988,-0.009748965083145864,59.06249999999999,85.88541666666667
pitch,half,lqr,acq,0.4951352890279562,0.07657366304178326,6.011732665097897,1.454899597793882,4.658020134375158,0.2748211302126756,0.9586218770466606,0.975762554902357,-0.013130486246110684,98.51973684210526,98.68421052631578
pitch,half,lqr,dist,1.0771018097281346,0.7378586273639992,5.98747637490408,44.27151764183995,69.60889851117736,0.5757255750705816,0.43138084119721104,1.1354060638020682,-0.005895975090681502,66.97916666666667,90.36458333333334
pitch,half,lqg,acq,0.6293007539024059,0.10879776039849678,5.9974729930583575,2.067157447571439,7.524369338380593,0.14197168440964852,0.9550705646078019,0.9713897081520073,-0.01245476191088618,97.5328947368421,98.35526315789474
pitch,half,lqg,dist,1.3578357317338776,0.977467443008446,5.98534098254833,58.64804658050676,110.6230724623965,0.47383817232159836,0.42635751673232186,1.1283286950272895,-0.004985109359015832,55.260416666666664,85.9375
pitch,half,mrac,acq,0.5915463370526172,0.11885829753545202,5.988439323115588,2.2583076531735884,6.648614308727002,0.07142382337149496,0.9537066970269775,1.0188412213473115,-0.027687912244849316,98.02631578947368,98.51973684210526
pitch,half,mrac,dist,1.3098101018856665,0.9011830820201603,5.984875822084401,54.070984921209615,102.93615018010439,0.6156669974799649,0.43217588704757764,1.156131064723844,-0.023184682515780597,70.67708333333333,83.85416666666666
pitch,full,pid,acq,0.7750213920986074,0.23063415104178975,5.993128508560137,4.382048869794005,11.412505005998804,0.06173673408805701,0.9439297180497122,0.9681340961676158,-0.005939187152861042,94.90131578947368,96.54605263157895
pitch,full,pid,dist,1.67684675011164,1.3434446851269435,5.9510237456163075,80.60668110761661,168.70890140159813,0.3568412112507353,0.3879686519252439,1.108069613316875,-0.03364158754172643,44.895833333333336,72.08333333333333
pitch,full,rst,acq,0.5914551815870329,0.09728209211406366,5.9886017356546475,1.8483597501672095,6.646565404696851,0.06937088440475672,0.9577763851072078,0.9999650629569009,-0.009374880786944484,98.02631578947368,98.51973684210526
pitch,full,rst,dist,1.2706729464702016,0.892659610072647,5.98514410430378,53.559576604358824,96.87658421347581,0.4474201557496462,0.43464278155526487,1.1563035323431858,-0.01137523920211203,59.114583333333336,85.78125
pitch,full,lqr,acq,0.49555894957781504,0.07632649922416027,6.009159337776094,1.450203485259045,4.665994777626682,0.27378181803850127,0.9586903519555409,0.9771827822230337,-0.012107234225925467,98.51973684210526,98.68421052631578
pitch,full,lqr,dist,1.0821520458398393,0.7417361065888325,5.986289048063739,44.504166395329946,70.26318301892097,0.5686527384249676,0.43130597154967215,1.1338837212225616,-0.00877883208086122,66.82291666666667,90.3125
pitch,full,lqg,acq,0.6299279635710976,0.10856214278700223,5.997420031922708,2.0626807129530422,7.539375546487772,0.14204050412015726,0.9553007650367785,0.972339988715218,-0.009479159831793094,97.5328947368421,98.35526315789474
pitch,full,lqg,dist,1.3589345921266842,0.9768297937723925,5.9900061528046855,58.609787626343554,110.80219354071107,0.4728988825713277,0.4263022131842819,1.128778919708393,-0.00801417419705297,55.15624999999999,86.19791666666666
pitch,full,mrac,acq,0.592156159287078,0.11592900253332566,5.9886017356546475,2.2026510481331876,6.662329422650842,0.07132169098896095,0.9541920573709239,1.017755051365837,-0.023087620182644625,98.02631578947368,98.51973684210526
pitch,full,mrac,dist,1.3154401453979931,0.8962239407504229,5.981027428235137,53.773436445025375,103.8229665674816,0.6146362104751165,0.4324109105720881,1.1537217665636894,-0.0242464345337738,70.46875,83.85416666666666
